Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest,,,,2022-11-16 17:23:45,2022-11-16 17:23:56,11.370s,FAILED
,,,,,,,
Test Cases/logoTest,,,,2022-11-16 17:23:46,2022-11-16 17:23:56,10.672s,FAILED
"openBrowser("""")",,,,2022-11-16 17:23:46,2022-11-16 17:23:56,10.192s,FAILED
